game_id,round,season,encounter_cards_revealed,burdens_revealed_this_round,burden_applications_this_round,no_valid_target_burden_applications_this_round,strain_attempted_this_round,strain_placed_this_round,strain_prevented_by_supported_this_round,strain_removed_this_round,active_burdens_end_of_round,total_strain_tokens_end_of_round,tiles_at_1_strain_end_of_round,tiles_at_2_strain_end_of_round,overstrained_tiles_end_of_round,population_end_of_round,renown_end_of_round
sim-balanced-3p-003,9,III,3,0,0,0,0,0,0,2,2,6,3,0,1,83,127
sim-balanced-3p-003,10,III,3,1,1,1,0,0,0,0,2,6,3,0,1,112,137
sim-balanced-3p-003,11,III,3,2,2,1,3,2,1,0,1,8,5,0,1,125,138
sim-balanced-3p-003,12,III,3,2,2,1,3,1,2,1,0,8,5,0,1,145,140
sim-balanced-4p-003,1,I,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30
sim-balanced-4p-003,2,I,4,1,1,1,0,0,0,0,0,0,0,0,0,0,30
sim-balanced-4p-003,3,I,4,1,1,1,1,0,1,0,0,0,0,0,0,10,46
sim-balanced-4p-003,4,I,4,0,0,0,1,1,0,0,0,1,1,0,0,10,48
sim-balanced-4p-003,5,II,4,0,0,0,1,1,0,0,0,2,2,0,0,15,105
sim-balanced-4p-003,6,II,4,2,2,1,4,3,1,0,1,5,3,1,0,20,110
sim-balanced-4p-003,7,II,4,0,0,0,1,0,1,2,1,3,3,0,0,25,145
sim-balanced-4p-003,8,II,4,4,6,2,9,4,5,1,2,6,4,1,0,25,151
sim-balanced-4p-003,9,III,4,2,2,2,5,4,1,0,3,10,8,1,0,35,182
sim-balanced-4p-003,10,III,4,3,3,2,3,3,0,0,3,13,6,2,1,35,182
sim-balanced-4p-003,11,III,4,3,3,1,4,4,0,1,5,16,4,3,2,35,173
sim-balanced-4p-003,12,III,4,2,2,0,4,2,2,1,5,17,7,2,2,35,173
sim-balanced-1p-004,1,I,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sim-balanced-1p-004,2,I,1,1,1,1,0,0,0,0,0,0,0,0,0,5,0
sim-balanced-1p-004,3,I,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0
sim-balanced-1p-004,4,I,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0
sim-balanced-1p-004,5,II,1,0,0,0,0,0,0,0,0,0,0,0,0,10,10
sim-balanced-1p-004,6,II,1,1,1,1,0,0,0,0,0,0,0,0,0,15,35
sim-balanced-1p-004,7,II,1,0,0,0,0,0,0,0,0,0,0,0,0,15,55
sim-balanced-1p-004,8,II,1,1,2,2,0,0,0,0,1,0,0,0,0,15,61
sim-balanced-1p-004,9,III,1,0,0,0,1,1,0,0,1,1,1,0,0,20,61
sim-balanced-1p-004,10,III,1,0,0,0,0,0,0,0,1,1,1,0,0,20,66
sim-balanced-1p-004,11,III,1,1,1,1,1,1,0,0,2,2,2,0,0,25,67
sim-balanced-1p-004,12,III,1,1,1,1,0,0,0,0,3,2,2,0,0,34,67
sim-balanced-2p-004,1,I,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sim-balanced-2p-004,2,I,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
sim-balanced-2p-004,3,I,2,0,0,0,0,0,0,0,0,0,0,0,0,5,20
sim-balanced-2p-004,4,I,2,0,0,0,0,0,0,0,0,0,0,0,0,25,30
sim-balanced-2p-004,5,II,2,0,0,0,0,0,0,0,0,0,0,0,0,25,65
sim-balanced-2p-004,6,II,2,1,1,1,0,0,0,0,1,0,0,0,0,25,65
sim-balanced-2p-004,7,II,2,0,0,0,0,0,0,0,1,0,0,0,0,25,74
sim-balanced-2p-004,8,II,2,2,5,5,0,0,0,0,3,0,0,0,0,25,74
sim-balanced-2p-004,9,III,2,0,0,0,0,0,0,0,2,0,0,0,0,35,80
sim-balanced-2p-004,10,III,2,2,2,1,2,1,1,0,3,1,1,0,0,50,86
sim-balanced-2p-004,11,III,2,1,1,0,3,1,2,0,3,2,2,0,0,50,86
sim-balanced-2p-004,12,III,2,1,1,0,3,2,1,0,3,4,4,0,0,65,97
sim-balanced-3p-004,1,I,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15
sim-balanced-3p-004,2,I,3,3,3,3,0,0,0,0,0,0,0,0,0,0,30
sim-balanced-3p-004,3,I,3,1,1,1,1,1,0,0,0,1,1,0,0,0,35
sim-balanced-3p-004,4,I,3,1,1,1,0,0,0,0,0,1,1,0,0,5,40
sim-balanced-3p-004,5,II,3,0,0,0,0,0,0,0,0,1,1,0,0,20,61
sim-balanced-3p-004,6,II,3,0,0,0,0,0,0,0,0,0,0,0,0,20,66
sim-balanced-3p-004,7,II,3,0,0,0,0,0,0,0,0,0,0,0,0,30,90
sim-balanced-3p-004,8,II,3,3,5,0,12,8,3,0,2,8,3,1,1,35,95
sim-balanced-3p-004,9,III,3,0,0,0,0,0,0,2,2,4,4,0,0,52,101
sim-balanced-3p-004,10,III,3,0,0,0,0,0,0,0,2,4,4,0,0,72,141
sim-balanced-3p-004,11,III,3,2,2,1,2,2,0,0,2,6,6,0,0,94,142
sim-balanced-3p-004,12,III,3,1,1,0,2,1,1,0,2,7,5,1,0,156,142
sim-balanced-4p-004,1,I,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30
sim-balanced-4p-004,2,I,4,1,1,1,0,0,0,0,0,0,0,0,0,0,30
sim-balanced-4p-004,3,I,4,0,0,0,2,2,0,0,0,2,2,0,0,0,30
sim-balanced-4p-004,4,I,4,1,1,0,3,3,0,0,0,5,3,1,0,0,30
sim-balanced-4p-004,5,II,4,0,0,0,0,0,0,0,0,2,2,0,0,15,45
sim-balanced-4p-004,6,II,4,2,2,1,4,1,3,0,1,3,3,0,0,35,62
sim-balanced-4p-004,7,II,4,0,0,0,1,1,0,0,1,2,2,0,0,35,89
sim-balanced-4p-004,8,II,4,4,6,3,8,7,1,2,2,7,5,1,0,35,123
sim-balanced-4p-004,9,III,4,0,0,0,1,1,0,0,1,8,6,1,0,40,139
sim-balanced-4p-004,10,III,4,3,3,1,4,4,0,1,1,11,5,3,0,50,150
sim-balanced-4p-004,11,III,4,1,1,0,3,3,0,0,1,14,4,2,2,65,160
sim-balanced-4p-004,12,III,4,2,2,1,3,3,0,0,1,17,7,2,2,87,160
sim-balanced-1p-005,1,I,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sim-balanced-1p-005,2,I,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sim-balanced-1p-005,3,I,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0
sim-balanced-1p-005,4,I,1,0,0,0,0,0,0,0,0,0,0,0,0,10,5
sim-balanced-1p-005,5,II,1,0,0,0,0,0,0,0,0,0,0,0,0,25,10
sim-balanced-1p-005,6,II,1,1,1,1,0,0,0,0,0,0,0,0,0,25,40
sim-balanced-1p-005,7,II,1,0,0,0,0,0,0,0,0,0,0,0,0,25,60
sim-balanced-1p-005,8,II,1,1,2,2,0,0,0,0,1,0,0,0,0,25,60
