game_id,random_seed,player_count,bot_profile,final_score,final_population,final_renown,final_placed_tiles,final_upgraded_tiles,final_basic_population,final_basic_renown,final_upgraded_population,final_upgraded_renown,final_warehouse_total,final_warehouse_wood,final_warehouse_stone,final_warehouse_metal,final_warehouse_food,final_warehouse_herbs,final_warehouse_goods,final_strain_tokens,final_active_burdens,total_burdens_revealed,total_burden_applications,total_burden_applications_with_no_valid_target,total_strain_attempted,total_strain_placed,total_strain_prevented_by_supported,total_strain_blocked_by_cap,total_strain_removed,total_upgrade_actions,actions_spent_resolving_burdens,actions_spent_removing_strain,max_tiles_at_1_strain,max_tiles_at_2_strain,max_overstrained_tiles,rounds_with_at_least_one_overstrained_tile,arrivals_completed,arrivals_expired,score_per_player,final_overstrained_tiles,total_place_actions,total_activate_actions,total_production_activations,resource_node_activations,strain_relief_activations,burden_resolution_activations,arrival_timer_activations,steward_power_uses,goods_substitutions_used,placement_discounts_used,upgrade_discounts_used,final_resource_tiles,placed_resource_tiles,upgraded_resource_tiles,final_housing_tiles,placed_housing_tiles,upgraded_housing_tiles,final_travel_tiles,placed_travel_tiles,upgraded_travel_tiles,final_crafting_tiles,placed_crafting_tiles,upgraded_crafting_tiles,final_merchant_tiles,placed_merchant_tiles,upgraded_merchant_tiles,final_social_tiles,placed_social_tiles,upgraded_social_tiles,final_wellbeing_tiles,placed_wellbeing_tiles,upgraded_wellbeing_tiles,final_special_tiles,placed_special_tiles,upgraded_special_tiles,production_gained_wood,production_capped_wood,production_gained_stone,production_capped_stone,production_gained_metal,production_capped_metal,production_gained_food,production_capped_food,production_gained_herbs,production_capped_herbs,production_gained_goods,production_capped_goods
sim-balanced-2p-006,playtester-bot-balance-2026-06-13-deal-06-2p,2,balanced,147,60,103,37,13,5,53,55,20,19,0,5,0,3,9,2,8,0,8,11,9,11,8,1,2,0,13,8,0,2,2,2,4,5,2,74,2,36,38,35,35,0,0,0,5,0,2,3,9,9,9,3,3,3,15,15,1,2,2,0,0,0,0,0,0,0,2,2,0,6,5,0,13,2,23,10,21,1,45,11,33,0,16,0
sim-balanced-3p-006,playtester-bot-balance-2026-06-13-deal-06-3p,3,balanced,234,117,149,45,12,117,77,0,27,28,11,0,2,2,12,1,7,3,10,11,3,15,12,3,0,2,12,7,2,5,1,0,0,9,1,78,0,45,73,52,46,2,0,19,9,0,7,1,9,9,9,8,8,0,15,15,3,1,1,0,1,1,0,1,1,0,2,2,0,8,8,0,30,0,31,8,41,0,76,14,42,0,18,0
sim-balanced-4p-006,playtester-bot-balance-2026-06-13-deal-06-4p,4,balanced,216,84,172,39,21,69,26,15,101,36,3,12,6,15,0,0,17,1,16,18,12,24,21,2,1,4,21,14,2,11,3,1,1,4,10,54,1,39,89,71,71,2,0,12,9,0,2,1,9,9,9,5,5,1,21,21,11,1,1,0,0,0,0,1,1,0,0,0,0,2,2,0,29,0,69,3,54,39,71,16,0,0,63,13
sim-balanced-1p-007,playtester-bot-balance-2026-06-13-deal-07-1p,1,balanced,101,45,64,21,4,22,47,23,2,22,15,5,1,0,1,0,1,1,3,3,2,2,1,1,0,0,4,2,0,1,0,0,0,5,0,101,0,21,17,17,17,0,0,0,3,4,2,0,2,2,2,4,4,2,5,5,0,0,0,0,2,2,0,3,3,0,2,2,0,3,3,0,30,21,0,0,0,0,32,2,0,0,0,0
sim-balanced-2p-007,playtester-bot-balance-2026-06-13-deal-07-2p,2,balanced,158,35,163,37,17,25,60,10,73,35,1,12,4,15,0,3,5,5,9,11,8,9,8,1,0,1,17,4,1,3,1,0,0,5,4,79,0,37,34,33,33,1,0,0,5,0,2,1,8,8,8,2,2,0,17,17,7,1,1,0,0,0,0,4,4,2,1,1,0,4,4,0,19,24,34,9,24,2,49,3,3,0,16,0
sim-balanced-3p-007,playtester-bot-balance-2026-06-13-deal-07-3p,3,balanced,249,120,173,40,19,69,61,51,67,10,1,1,0,7,0,1,13,3,11,13,7,18,14,4,0,1,19,6,0,6,4,1,2,10,2,83,0,40,68,57,47,0,0,5,10,0,5,1,9,9,9,5,5,3,15,15,5,0,0,0,0,0,0,2,2,2,0,0,0,9,9,0,23,0,35,16,42,0,91,19,0,0,46,0
sim-balanced-4p-007,playtester-bot-balance-2026-06-13-deal-07-4p,4,balanced,255,94,225,39,26,44,35,50,130,12,1,0,1,3,1,6,20,4,18,22,13,33,30,1,2,6,26,14,4,10,4,2,2,3,10,64,2,39,81,67,67,4,0,10,10,0,3,2,9,9,9,5,5,3,22,22,14,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,12,0,67,1,45,96,76,0,6,0,73,5
sim-balanced-1p-008,playtester-bot-balance-2026-06-13-deal-08-1p,1,balanced,112,56,62,21,4,30,46,26,1,22,12,1,7,2,0,0,3,0,4,4,2,4,4,0,0,1,4,3,1,3,0,0,0,4,0,112,0,21,16,14,14,1,0,0,2,0,3,0,3,3,2,4,4,2,4,4,0,0,0,0,1,1,0,2,2,0,3,3,0,4,4,0,28,14,0,0,0,0,27,1,0,0,0,0
sim-balanced-2p-008,playtester-bot-balance-2026-06-13-deal-08-2p,2,balanced,21,39,48,31,5,39,33,0,0,44,9,15,15,2,1,2,15,6,9,11,4,22,20,2,0,3,5,3,1,2,5,1,1,2,5,11,1,31,18,17,17,1,0,0,3,0,1,0,8,8,5,5,5,0,15,15,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,18,0,17,16,13,9,12,0,0,0,0,0
sim-balanced-3p-008,playtester-bot-balance-2026-06-13-deal-08-3p,3,balanced,240,103,187,35,25,68,35,35,122,20,15,1,0,3,1,0,10,5,12,14,9,16,11,5,0,0,25,7,0,8,2,0,0,6,6,80,0,35,65,62,50,0,0,0,9,0,2,2,9,9,9,6,6,2,13,13,13,0,0,0,0,0,0,2,2,1,0,0,0,5,5,0,65,79,42,6,55,2,106,6,0,0,16,0
sim-balanced-4p-008,playtester-bot-balance-2026-06-13-deal-08-4p,4,balanced,189,116,129,38,8,106,68,10,1,36,15,4,3,2,0,12,16,4,18,22,11,25,18,7,0,0,8,14,0,9,2,1,6,11,3,47,1,38,77,65,65,0,0,12,9,0,3,1,9,9,7,8,8,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,50,5,26,25,48,22,89,2,0,0,62,0
sim-balanced-1p-009,playtester-bot-balance-2026-06-13-deal-09-1p,1,balanced,109,44,67,23,4,34,51,10,1,32,15,6,6,5,0,0,1,0,3,3,3,1,1,0,0,0,4,2,0,1,0,0,0,4,0,109,0,23,15,14,14,0,0,0,3,0,2,1,3,3,3,4,4,1,9,9,0,0,0,0,1,1,0,1,1,0,1,1,0,4,4,0,20,22,0,0,0,0,24,4,0,0,0,0
sim-balanced-2p-009,playtester-bot-balance-2026-06-13-deal-09-2p,2,balanced,138,106,70,26,10,60,37,46,3,39,13,10,2,4,10,0,7,4,8,11,6,11,11,0,0,4,10,4,4,5,1,1,1,6,3,69,0,26,51,47,47,4,0,0,3,0,3,1,8,8,6,6,6,4,3,3,0,0,0,0,0,0,0,3,3,0,1,1,0,5,5,0,29,70,15,12,14,4,75,1,19,0,0,0
