game_id,random_seed,player_count,bot_profile,final_score,final_population,final_renown,final_placed_tiles,final_upgraded_tiles,final_basic_population,final_basic_renown,final_upgraded_population,final_upgraded_renown,final_warehouse_total,final_warehouse_wood,final_warehouse_stone,final_warehouse_metal,final_warehouse_food,final_warehouse_herbs,final_warehouse_goods,final_strain_tokens,final_active_burdens,total_burdens_revealed,total_burden_applications,total_burden_applications_with_no_valid_target,total_strain_attempted,total_strain_placed,total_strain_prevented_by_supported,total_strain_blocked_by_cap,total_strain_removed,total_upgrade_actions,actions_spent_resolving_burdens,actions_spent_removing_strain,max_tiles_at_1_strain,max_tiles_at_2_strain,max_overstrained_tiles,rounds_with_at_least_one_overstrained_tile,arrivals_completed,arrivals_expired,score_per_player,final_overstrained_tiles,total_place_actions,total_activate_actions,total_production_activations,resource_node_activations,strain_relief_activations,burden_resolution_activations,arrival_timer_activations,steward_power_uses,goods_substitutions_used,placement_discounts_used,upgrade_discounts_used,final_resource_tiles,placed_resource_tiles,upgraded_resource_tiles,final_housing_tiles,placed_housing_tiles,upgraded_housing_tiles,final_travel_tiles,placed_travel_tiles,upgraded_travel_tiles,final_crafting_tiles,placed_crafting_tiles,upgraded_crafting_tiles,final_merchant_tiles,placed_merchant_tiles,upgraded_merchant_tiles,final_social_tiles,placed_social_tiles,upgraded_social_tiles,final_wellbeing_tiles,placed_wellbeing_tiles,upgraded_wellbeing_tiles,final_special_tiles,placed_special_tiles,upgraded_special_tiles,production_gained_wood,production_capped_wood,production_gained_stone,production_capped_stone,production_gained_metal,production_capped_metal,production_gained_food,production_capped_food,production_gained_herbs,production_capped_herbs,production_gained_goods,production_capped_goods
sim-balanced-2p-014,playtester-bot-balance-2026-06-13-deal-14-2p,2,balanced,171,75,126,28,19,37,25,38,71,38,15,3,4,3,13,0,3,4,8,9,6,10,9,0,1,4,19,4,1,1,1,0,0,7,1,86,0,28,40,39,39,1,0,0,5,0,0,3,6,6,6,5,5,3,8,8,8,2,2,0,2,2,1,0,0,0,1,1,1,4,4,0,33,38,32,4,22,2,50,4,32,0,0,0
sim-balanced-3p-014,playtester-bot-balance-2026-06-13-deal-14-3p,3,balanced,248,101,173,36,19,88,45,13,83,43,8,15,15,2,1,2,4,3,12,15,10,11,9,2,0,2,19,8,0,2,3,1,1,11,2,83,1,36,51,50,50,0,0,0,7,0,4,4,9,9,7,6,6,1,10,10,10,2,2,1,0,0,0,1,1,0,0,0,0,8,8,0,36,0,50,22,39,9,51,17,0,0,28,0
sim-balanced-4p-014,playtester-bot-balance-2026-06-13-deal-14-4p,4,balanced,294,120,212,38,28,57,45,63,122,48,1,10,10,12,0,15,19,0,14,16,6,32,23,9,0,1,28,12,0,13,4,1,2,8,8,74,1,38,70,68,68,0,0,0,10,0,0,9,9,9,9,7,7,4,12,12,12,2,2,2,0,0,0,1,1,1,0,0,0,7,7,0,45,0,55,17,73,5,117,17,0,0,58,0
sim-balanced-1p-015,playtester-bot-balance-2026-06-13-deal-15-1p,1,balanced,134,53,87,22,9,53,30,0,42,7,0,0,0,2,1,4,0,1,3,4,3,1,1,0,0,0,9,2,0,0,0,0,0,4,0,134,0,22,11,11,11,0,0,0,3,4,1,3,3,3,3,5,5,0,6,6,5,1,1,1,2,2,0,0,0,0,2,2,0,3,3,0,15,15,0,0,3,0,19,1,0,0,2,0
sim-balanced-2p-015,playtester-bot-balance-2026-06-13-deal-15-2p,2,balanced,182,77,121,30,17,44,40,33,51,41,15,4,6,6,10,0,8,0,7,8,4,14,12,2,0,4,17,7,2,8,1,0,0,4,4,91,0,30,38,36,36,2,0,0,5,0,2,2,7,7,7,5,5,2,8,8,6,2,2,0,2,2,0,1,1,0,2,2,2,3,3,0,34,5,30,3,18,4,50,0,35,1,0,0
sim-balanced-3p-015,playtester-bot-balance-2026-06-13-deal-15-3p,3,balanced,248,103,159,38,21,30,60,73,54,26,3,0,4,4,15,0,4,1,12,12,8,9,6,3,0,0,21,9,0,4,0,0,0,10,1,83,0,38,68,66,66,0,0,0,9,0,2,0,9,9,9,5,5,5,8,8,7,1,1,0,0,0,0,1,1,0,4,4,0,10,10,0,31,0,35,17,36,31,70,14,50,13,35,3
sim-balanced-4p-015,playtester-bot-balance-2026-06-13-deal-15-4p,4,balanced,222,108,180,38,25,72,35,36,100,48,8,13,0,13,11,3,18,5,17,19,9,25,21,4,0,1,25,12,0,10,3,2,1,6,8,56,2,38,65,65,65,0,0,0,10,1,5,5,9,9,8,6,6,2,12,12,12,2,2,1,1,1,0,1,1,1,1,1,1,6,6,0,48,6,46,14,40,0,85,20,40,0,30,0
sim-balanced-1p-016,playtester-bot-balance-2026-06-13-deal-16-1p,1,balanced,118,76,50,19,3,76,30,0,5,18,13,1,0,0,1,3,1,1,3,4,3,1,1,0,0,0,3,2,0,1,0,0,0,5,0,118,0,19,19,19,19,0,0,0,2,0,1,0,3,3,2,7,7,0,3,3,1,0,0,0,0,0,0,0,0,0,2,2,0,4,4,0,26,28,0,0,4,0,31,5,0,0,0,0
sim-balanced-2p-016,playtester-bot-balance-2026-06-13-deal-16-2p,2,balanced,150,64,120,32,16,25,35,39,55,39,13,1,8,7,10,0,5,4,7,8,3,12,8,4,0,1,16,1,0,5,0,0,0,7,1,75,0,32,39,37,37,0,0,0,4,0,1,4,6,6,6,4,4,3,8,8,7,2,2,0,0,0,0,4,4,0,4,4,0,4,4,0,39,18,20,4,14,2,56,2,32,0,0,0
sim-balanced-3p-016,playtester-bot-balance-2026-06-13-deal-16-3p,3,balanced,310,121,215,42,25,93,60,28,110,33,15,0,0,15,0,3,4,3,10,10,7,9,9,0,0,2,25,5,0,5,1,0,0,9,2,103,0,42,65,57,57,0,0,6,9,13,4,2,9,9,9,9,9,2,12,12,11,0,0,0,2,2,1,2,2,2,0,0,0,8,8,0,51,60,27,0,48,3,117,2,0,0,52,0
sim-balanced-4p-016,playtester-bot-balance-2026-06-13-deal-16-4p,4,balanced,198,116,172,33,28,32,15,84,112,19,0,4,2,10,0,3,27,6,15,21,12,33,31,2,0,0,28,9,0,9,3,5,6,5,12,50,5,33,60,57,57,0,0,3,8,0,3,2,9,9,8,7,7,6,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,41,40,49,6,33,1,91,2,0,0,26,0
sim-balanced-1p-017,playtester-bot-balance-2026-06-13-deal-17-1p,1,balanced,129,111,22,16,3,111,15,0,7,22,15,1,1,0,5,0,2,0,4,4,3,2,2,0,0,0,3,4,0,2,0,0,0,4,0,129,0,16,21,21,21,0,0,0,2,0,4,0,3,3,2,9,9,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,14,46,0,0,2,0,37,3,0,0,0,0
sim-balanced-2p-017,playtester-bot-balance-2026-06-13-deal-17-2p,2,balanced,116,25,111,21,16,15,25,10,56,60,0,15,15,15,15,0,1,3,9,9,2,14,8,6,0,1,16,6,1,3,0,0,0,5,1,58,0,20,43,37,37,1,0,5,3,1,0,3,6,6,6,1,1,0,8,8,8,0,0,0,1,1,0,0,0,0,2,2,2,3,2,0,4,0,35,22,32,6,27,9,47,10,0,0
sim-balanced-3p-017,playtester-bot-balance-2026-06-13-deal-17-3p,3,balanced,314,153,189,39,22,105,60,48,99,30,2,4,7,10,0,7,11,1,11,12,7,13,11,2,0,0,22,10,0,6,1,1,5,10,2,105,1,38,68,62,62,0,0,6,9,0,6,2,9,9,9,8,8,3,10,10,9,0,0,0,0,0,0,1,1,1,0,0,0,11,10,0,27,0,29,16,46,8,101,6,3,0,71,3
sim-balanced-4p-017,playtester-bot-balance-2026-06-13-deal-17-4p,4,balanced,167,113,128,35,18,58,40,55,28,45,1,1,13,15,0,15,31,2,16,18,10,37,34,2,1,3,18,14,0,12,5,5,3,7,7,42,5,35,67,59,59,0,0,8,8,0,0,2,9,9,9,9,9,6,12,12,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,25,0,33,0,53,9,129,43,0,0,79,1
sim-balanced-1p-018,playtester-bot-balance-2026-06-13-deal-18-1p,1,balanced,110,59,69,21,6,59,30,0,24,22,15,0,0,6,0,1,3,2,4,5,4,5,3,2,0,0,6,2,0,3,0,0,0,3,0,110,0,21,16,16,16,0,0,0,2,3,1,0,3,3,2,5,5,0,6,6,4,0,0,0,1,1,0,2,2,0,1,1,0,3,3,0,22,26,0,0,0,0,31,1,0,0,0,0
sim-balanced-2p-018,playtester-bot-balance-2026-06-13-deal-18-2p,2,balanced,215,114,141,39,14,114,60,0,51,14,3,0,2,4,4,1,5,5,6,8,5,9,7,2,0,2,14,1,0,5,0,0,0,8,1,108,0,38,37,37,37,0,0,0,3,0,0,1,7,7,7,8,8,0,9,9,7,2,2,0,1,1,0,0,0,0,4,4,0,8,7,0,28,7,27,0,24,0,52,0,38,19,4,0
sim-balanced-3p-018,playtester-bot-balance-2026-06-13-deal-18-3p,3,balanced,182,96,124,34,16,42,46,54,48,57,4,15,15,15,7,1,16,1,12,13,5,20,17,3,0,1,16,9,0,8,2,2,5,11,2,61,2,34,54,50,50,0,1,2,7,0,2,2,9,9,8,5,5,4,10,10,4,0,0,0,0,0,0,0,0,0,1,1,0,9,9,0,18,0,45,0,29,1,78,12,27,0,40,0
sim-balanced-4p-018,playtester-bot-balance-2026-06-13-deal-18-4p,4,balanced,206,75,193,33,26,37,30,38,118,32,0,11,5,14,0,2,25,2,16,17,9,30,27,3,0,1,26,14,1,11,3,3,3,7,6,52,3,33,68,54,54,1,0,13,9,0,1,1,9,9,9,6,6,4,12,12,12,0,0,0,0,0,0,1,1,1,0,0,0,5,5,0,27,0,65,6,51,0,109,10,0,0,44,0
sim-balanced-1p-019,playtester-bot-balance-2026-06-13-deal-19-1p,1,balanced,113,63,58,25,2,63,43,0,0,14,1,7,0,0,3,3,1,1,5,5,5,1,1,0,0,0,2,4,0,1,0,0,0,3,1,113,0,25,14,14,14,0,0,0,2,2,1,0,5,5,2,6,6,0,6,6,0,2,2,0,2,2,0,0,0,0,1,1,0,3,3,0,14,28,0,0,0,0,25,3,0,0,0,0
sim-balanced-2p-019,playtester-bot-balance-2026-06-13-deal-19-2p,2,balanced,148,47,145,27,18,42,35,5,80,42,1,11,8,5,15,2,10,4,7,8,4,13,10,3,0,0,18,1,0,4,0,2,4,6,2,74,2,27,39,37,37,0,0,0,5,0,0,2,7,7,7,2,2,0,8,8,8,1,1,0,0,0,0,2,2,2,1,1,1,6,6,0,13,2,29,22,38,6,35,1,22,17,4,0
sim-balanced-3p-019,playtester-bot-balance-2026-06-13-deal-19-3p,3,balanced,202,106,168,34,20,88,30,18,93,42,15,3,5,4,15,0,15,7,15,17,8,25,18,5,2,3,20,8,0,7,4,1,2,4,6,67,1,34,63,62,62,0,0,0,8,0,4,2,7,7,6,7,7,1,13,13,12,1,1,0,1,1,0,1,1,0,1,1,1,3,3,0,50,29,45,10,35,1,76,12,43,14,0,0
sim-balanced-4p-019,playtester-bot-balance-2026-06-13-deal-19-4p,4,balanced,318,134,234,42,26,86,45,48,129,13,0,1,5,3,0,4,22,1,15,16,6,31,27,4,0,3,26,11,1,10,3,3,3,6,8,80,3,42,66,60,60,1,0,2,10,6,4,2,9,9,9,8,8,3,15,15,13,2,2,0,2,2,0,1,1,1,0,0,0,5,5,0,42,0,26,1,52,8,96,1,0,0,73,1
sim-balanced-1p-020,playtester-bot-balance-2026-06-13-deal-20-1p,1,balanced,144,77,77,20,5,77,35,0,27,24,11,0,0,4,8,1,2,1,5,5,3,3,3,0,0,1,5,4,1,2,0,0,0,3,0,144,0,20,16,15,15,1,0,0,3,2,2,0,3,3,2,6,6,0,6,6,3,0,0,0,2,2,0,0,0,0,1,1,0,2,2,0,23,22,0,0,0,0,29,1,0,0,0,0
